side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result
Batting,2026091104,2026091104#5,3,1,TOP,0-1,2,,Pen4,L,ライズボール,124.4,2.0,0.0,4,false,0.4,1.8,true,false,true,FOUL,132.5,59.3,45.3,61.0,
Batting,2026091104,2026091104#5,4,1,TOP,0-2,2,,Pen4,L,ライズボール,124.4,2.0,0.0,4,false,0.3,1.9,true,false,true,IN_PLAY,155.6,42.0,26.0,95.5,FLY_OUT
Batting,2026091104,2026091104#11,1,2,TOP,0-0,0,,Pen4,R,フォーク,115.2,-1.5,0.0,23,false,-0.1,0.3,true,false,true,IN_PLAY,192.4,20.5,-7.5,118.1,DOUBLE
Batting,2026091104,2026091104#1,1,2,TOP,0-0,1,,Pen4,L,SFF,115.2,-0.6,0.0,23,false,0.0,0.3,true,false,true,FOUL,37.4,-41.3,137.3,7.1,
Batting,2026091104,2026091104#1,2,2,TOP,0-1,1,,Pen4,L,SFF,115.2,-0.6,0.0,24,false,0.3,-0.3,true,false,true,IN_PLAY,153.9,-43.5,42.0,38.3,SINGLE
Batting,2026091104,2026091104#2,1,2,TOP,0-0,1,,Pen4,R,フォーク,115.2,-1.6,0.0,23,false,0.0,0.3,true,false,true,FOUL,48.6,-24.0,-139.7,7.3,
Batting,2026091104,2026091104#2,2,2,TOP,0-1,1,,Pen4,R,ライズボール,124.4,2.0,0.0,13,true,0.1,1.1,true,false,true,IN_PLAY,131.2,54.0,22.2,59.2,FLY_OUT
Batting,2026091104,2026091104#3,1,2,TOP,0-0,2,,Pen4,L,フォーク,115.2,-1.5,0.0,24,false,0.3,-0.1,true,false,true,FOUL,189.6,13.1,11.4,118.5,
Batting,2026091104,2026091104#3,2,2,TOP,0-0,2,sota2486,Pen4,L,Ball,134.3,0.1,0.0,25,false,1.1,-0.2,false,false,false,BALL,,,,,
Batting,2026091104,2026091104#3,3,2,TOP,1-1,2,,Pen4,L,高速スライダー,121.0,0.0,1.1,25,false,0.8,0.4,true,false,true,FOUL,181.4,8.9,22.2,105.1,
Batting,2026091104,2026091104#3,4,2,TOP,1-1,2,sota2486,Pen4,L,Ball,130.8,0.0,0.0,22,false,-0.2,0.4,false,false,false,BALL,,,,,HOME_RUN
Batting,2026091104,2026091104#4,1,2,TOP,0-0,2,,Pen4,R,SFF,115.2,-0.6,0.0,23,false,0.1,0.2,true,false,true,FOUL,33.0,-30.5,-147.9,7.0,
Batting,2026091104,2026091104#4,2,2,TOP,0-1,2,,Pen4,R,フォーク,115.2,-1.6,0.0,23,false,0.1,0.3,true,false,true,FOUL,34.8,0.4,-169.2,6.2,
Batting,2026091104,2026091104#4,3,2,TOP,0-1,2,,Pen4,R,フォーク,115.2,-1.5,0.0,23,false,0.1,0.2,true,false,true,IN_PLAY,163.3,15.7,33.1,71.6,FLY_OUT
