GAME_ID,inning,half,order,pitcherName,batterName,resultType,rbi,runsScored,outsOnPlay,runnerOnFirst,runnerOnSecond,runnerOnThird,memo,batterStance,pitcherThrows,calledAt,pitchAt
2026091701,1,TOP,2,Pitcher,Pen4,SINGLE,0,0,0,FALSE,FALSE,FALSE,,R,,1789652167518,1789652214982
2026091701,1,TOP,3,Pitcher,Alpha6000,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,,R,,1789652221999,1789652271183
2026091701,1,TOP,4,Pitcher,sota2486,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,,R,,1789652272034,1789652293782
2026091701,1,TOP,1,Pitcher,Pen4,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652294485,1789652304434
2026091701,1,TOP,2,Pitcher,nextbardo,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652308335,1789652340132
2026091701,1,TOP,3,Pitcher,Alpha6000,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652344735,1789652372132
2026091701,1,TOP,4,Pitcher,sota2486,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652375784,1789652422132
2026091701,1,TOP,1,Pitcher,Pen4,FLY_OUT,0,0,1,FALSE,FALSE,FALSE,,R,,1789652425485,1789652455582
2026091701,1,BOTTOM,2,Pitcher,Rosario20,FLY_OUT,0,0,1,FALSE,FALSE,FALSE,,R,,1789652472606,1789652515132
2026091701,1,BOTTOM,3,Pitcher,namako3125,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652521335,1789652529434
2026091701,1,BOTTOM,4,Pitcher,EmeraldREX91,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652535184,1789652550582
2026091701,1,BOTTOM,1,Pitcher,Rosario20,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652554284,1789652563132
2026091701,1,BOTTOM,2,Pitcher,LagnaKt,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652567284,1789652575332
2026091701,1,BOTTOM,3,Pitcher,namako3125,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,,R,,1789652579584,1789652591382
