GAME_ID,inning,half,order,pitcherName,batterName,resultType,rbi,runsScored,outsOnPlay,runnerOnFirst,runnerOnSecond,runnerOnThird,memo
2026091202,1,TOP,1,syobonnkun,sota2486,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,1,TOP,2,syobonnkun,Pen4,DOUBLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,1,TOP,3,syobonnkun,hachi_18,STRIKE_OUT,0,0,1,FALSE,TRUE,FALSE,
2026091202,1,TOP,4,syobonnkun,M0nJ,SINGLE,0,0,0,FALSE,TRUE,FALSE,
2026091202,1,TOP,5,syobonnkun,TYPE_NOOB,HOME_RUN,3,3,0,TRUE,FALSE,TRUE,
2026091202,1,TOP,1,syobonnkun,sota2486,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,
2026091202,1,TOP,2,syobonnkun,Pen4,DOUBLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,1,TOP,3,syobonnkun,hachi_18,DOUBLE,1,1,0,FALSE,TRUE,FALSE,
2026091202,1,TOP,4,syobonnkun,M0nJ,GROUND_OUT,0,0,1,FALSE,TRUE,FALSE,
2026091202,1,BOTTOM,1,sota2486,Alpha6000,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,1,BOTTOM,2,sota2486,gaifukaisei,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,1,BOTTOM,3,sota2486,Rosario20,DOUBLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,1,BOTTOM,4,sota2486,pipis_57,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,2,TOP,4,gaifukaisei,M0nJ,GROUND_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,2,TOP,5,gaifukaisei,TYPE_NOOB,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,2,TOP,1,gaifukaisei,sota2486,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,2,BOTTOM,5,sota2486,syobonnkun,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,2,BOTTOM,1,sota2486,Alpha6000,DOUBLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,2,BOTTOM,2,sota2486,gaifukaisei,HOME_RUN,2,2,0,FALSE,TRUE,FALSE,
2026091202,2,BOTTOM,3,sota2486,Rosario20,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,2,BOTTOM,4,sota2486,pipis_57,GROUND_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,3,TOP,2,gaifukaisei,Pen4,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,3,TOP,3,gaifukaisei,hachi_18,GROUND_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,3,TOP,4,gaifukaisei,M0nJ,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,3,BOTTOM,5,sota2486,syobonnkun,SINGLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,3,BOTTOM,1,sota2486,Alpha6000,DOUBLE,0,0,0,TRUE,FALSE,FALSE,
2026091202,3,BOTTOM,2,sota2486,gaifukaisei,DOUBLE,2,2,0,FALSE,TRUE,TRUE,
2026091202,3,BOTTOM,3,sota2486,Rosario20,STRIKE_OUT,0,0,1,FALSE,TRUE,FALSE,
2026091202,3,BOTTOM,4,sota2486,pipis_57,GROUND_OUT,0,0,1,FALSE,TRUE,FALSE,
2026091202,3,BOTTOM,5,sota2486,syobonnkun,STRIKE_OUT,0,0,1,FALSE,TRUE,FALSE,
2026091202,4,TOP,5,gaifukaisei,TYPE_NOOB,FLY_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,4,TOP,1,gaifukaisei,sota2486,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,4,TOP,2,gaifukaisei,Pen4,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,4,BOTTOM,1,sota2486,Alpha6000,SINGLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,4,BOTTOM,2,sota2486,gaifukaisei,STRIKE_OUT,0,0,1,TRUE,FALSE,FALSE,
2026091202,4,BOTTOM,3,sota2486,Rosario20,DOUBLE,0,0,0,TRUE,FALSE,FALSE,
2026091202,4,BOTTOM,4,sota2486,pipis_57,STRIKE_OUT,0,0,1,FALSE,TRUE,TRUE,
2026091202,4,BOTTOM,5,sota2486,syobonnkun,STRIKE_OUT,0,0,1,FALSE,TRUE,TRUE,
2026091202,5,TOP,3,gaifukaisei,hachi_18,STRIKE_OUT,0,0,1,FALSE,FALSE,FALSE,
2026091202,5,TOP,4,gaifukaisei,M0nJ,SINGLE,0,0,1,FALSE,FALSE,FALSE,
2026091202,5,TOP,5,gaifukaisei,TYPE_NOOB,DOUBLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,5,TOP,1,gaifukaisei,sota2486,HOME_RUN,2,2,0,FALSE,TRUE,FALSE,
2026091202,5,TOP,2,gaifukaisei,Pen4,DOUBLE,0,0,0,FALSE,FALSE,FALSE,
2026091202,5,TOP,3,gaifukaisei,hachi_18,GROUND_OUT,0,0,1,FALSE,TRUE,FALSE,
2026091202,5,BOTTOM,1,Pen4,Alpha6000,HOME_RUN,1,1,0,FALSE,FALSE,FALSE,
2026091202,5,BOTTOM,2,Pen4,gaifukaisei,WALK,0,0,0,FALSE,FALSE,FALSE,
2026091202,5,BOTTOM,3,Pen4,Rosario20,WALK,0,0,0,TRUE,FALSE,FALSE,
2026091202,5,BOTTOM,4,Pen4,pipis_57,GROUND_OUT,0,0,1,TRUE,TRUE,FALSE,
2026091202,5,BOTTOM,5,Pen4,syobonnkun,SINGLE,1,1,1,TRUE,FALSE,TRUE,
2026091202,5,BOTTOM,1,Pen4,Alpha6000,STRIKE_OUT,0,0,1,FALSE,TRUE,FALSE,
