side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws
Batting,2026091202,2026091202#17,2,2,BOTTOM,0-0,1,sota2486,Alpha6000,R,サークルチェンジ,109.1,0.4,-0.9,22,false,-0.3,0.4,true,false,true,FOUL,131.3,10.3,-58.7,13.6,,R
Batting,2026091202,2026091202#17,3,2,BOTTOM,0-1,1,sota2486,Alpha6000,R,ライズボール,116.8,2.0,0.0,18,true,0.1,0.6,true,false,true,FOUL,43.7,42.3,-134.4,7.4,,R
Batting,2026091202,2026091202#17,4,2,BOTTOM,0-2,1,sota2486,Alpha6000,R,サークルチェンジ,108.5,0.5,-0.9,17,true,-0.3,0.5,true,false,true,IN_PLAY,169.7,14.8,-5.0,111.5,DOUBLE,R
Batting,2026091202,2026091202#24,1,3,BOTTOM,0-0,0,sota2486,Alpha6000,R,ライズボール,117.5,2.0,0.0,18,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,,R
Batting,2026091202,2026091202#24,2,3,BOTTOM,0-1,0,sota2486,Alpha6000,R,サークルチェンジ,107.9,0.5,-0.9,17,true,-0.4,0.7,true,false,true,IN_PLAY,156.2,20.8,-14.5,113.2,DOUBLE,R
Batting,2026091202,2026091202#33,2,4,BOTTOM,0-0,0,sota2486,Alpha6000,R,サークルチェンジ,108.3,0.3,-1.0,18,true,-0.2,0.6,false,false,false,CALLED_STRIKE,,,,,,R
Batting,2026091202,2026091202#33,3,4,BOTTOM,0-1,0,sota2486,Alpha6000,R,ライズボール,116.2,2.1,0.0,17,true,-0.3,0.5,false,false,false,CALLED_STRIKE,,,,,,R
Batting,2026091202,2026091202#33,4,4,BOTTOM,0-2,0,sota2486,Alpha6000,R,高速スライダー,114.0,0.1,1.2,25,false,1.4,0.1,true,false,true,IN_PLAY,208.3,1.6,7.9,71.1,SINGLE,R
Batting,2026091202,2026091202#44,2,5,BOTTOM,0-0,0,Pen4,Alpha6000,R,ライズボール,116.3,2.1,0.0,8,true,-0.1,1.4,true,false,true,FOUL,111.3,48.5,-43.0,38.2,,R
Batting,2026091202,2026091202#44,3,5,BOTTOM,0-1,0,Pen4,Alpha6000,R,パワーカーブ,111.1,-2.3,1.2,24,false,0.6,0.1,true,false,true,IN_PLAY,197.4,20.4,7.5,127.2,HOME_RUN,R
Batting,2026091202,2026091202#49,1,5,BOTTOM,0-0,2,Pen4,Alpha6000,R,パワーカーブ,111.0,-2.6,1.3,25,false,0.7,-0.1,true,false,true,FOUL,48.0,-48.5,-132.8,6.9,,R
Batting,2026091202,2026091202#49,2,5,BOTTOM,0-1,2,Pen4,Alpha6000,R,ライズボール,116.6,2.0,0.0,4,false,0.3,2.7,false,false,false,BALL,,,,,,R
Batting,2026091202,2026091202#49,3,5,BOTTOM,1-1,2,Pen4,Alpha6000,R,SFF,107.5,-0.7,0.0,25,false,0.6,0.3,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,R
