side,game,pa,pitch_no,inning,half,count,outs,pitcher,batter,stance,type,velocity,v_break,h_break,zone,in_zone,plate_x,plate_y,swing,whiff,contact,call,exit_velocity,launch_angle,spray_angle,distance,result,throws,swing_power,bat_power,init_velocity
Batting,2026091202,2026091202#18,3,2,BOTTOM,2-0,1,sota2486,gaifukaisei,L,超高速シンカー,108.6,-0.9,-1.2,23,false,-0.1,0.1,false,false,false,BALL,,,,,,R,,,113.8
Batting,2026091202,2026091202#18,4,2,BOTTOM,3-0,1,sota2486,gaifukaisei,L,ライズボール,120.7,2.0,0.0,18,true,0.0,0.7,false,false,false,CALLED_STRIKE,,,,,,R,,,117.3
Batting,2026091202,2026091202#18,5,2,BOTTOM,3-1,1,sota2486,gaifukaisei,L,高速スライダー,108.0,0.0,1.2,22,false,-0.5,0.4,true,true,false,SWINGING_STRIKE,,,,,,R,,,113.2
Batting,2026091202,2026091202#18,6,2,BOTTOM,3-2,1,sota2486,gaifukaisei,L,サークルチェンジ,65.5,0.3,-0.9,16,false,-0.9,0.7,true,false,true,FOUL,45.6,7.9,-120.1,6.9,,R,,,108.2
Batting,2026091202,2026091202#18,7,2,BOTTOM,3-2,1,sota2486,gaifukaisei,L,ライズボール,119.5,2.0,0.0,8,true,0.1,1.4,true,false,true,IN_PLAY,183.6,30.4,20.4,130.2,HOME_RUN,R,,,116.1
Pitching,2026091202,2026091202#20,1,3,TOP,0-0,0,gaifukaisei,Pen4,L,スライダー,100.7,-0.4,-1.8,11,false,-1.1,1.0,true,true,false,SWINGING_STRIKE,,,,,,L,,,110.2
Pitching,2026091202,2026091202#20,2,3,TOP,0-1,0,gaifukaisei,Pen4,L,シンカー,76.9,-2.1,2.4,24,false,0.6,0.4,true,true,false,SWINGING_STRIKE,,,,,,L,,,98.6
Pitching,2026091202,2026091202#20,3,3,TOP,0-2,0,gaifukaisei,Pen4,L,ファストボール,123.7,0.8,0.0,3,false,-0.1,1.8,true,true,false,SWINGING_STRIKE,,,,,STRIKE_OUT,L,,,125.0
Pitching,2026091202,2026091202#21,1,3,TOP,0-0,1,gaifukaisei,hachi_18,R,ファストボール,123.2,0.8,0.0,9,true,0.3,1.5,false,false,false,CALLED_STRIKE,,,,,,L,,,124.5
Pitching,2026091202,2026091202#21,2,3,TOP,0-1,1,gaifukaisei,hachi_18,R,スライダー,97.3,-0.4,-1.9,21,false,-0.9,0.4,true,false,true,IN_PLAY,131.6,-45.1,-13.1,30.8,GROUND_OUT,L,,,107.6
Pitching,2026091202,2026091202#22,1,3,TOP,0-0,2,gaifukaisei,M0nJ,R,シンカー,75.5,-2.0,2.4,25,false,1.2,0.5,true,true,false,SWINGING_STRIKE,,,,,,L,,,96.8
Pitching,2026091202,2026091202#22,2,3,TOP,0-1,2,gaifukaisei,M0nJ,R,スライダー,99.3,-0.2,-1.8,23,false,0.0,0.1,false,false,false,BALL,,,,,,L,,,108.7
Pitching,2026091202,2026091202#22,3,3,TOP,1-1,2,gaifukaisei,M0nJ,R,ファストボール,123.9,0.8,0.0,7,true,-0.3,1.4,false,false,false,CALLED_STRIKE,,,,,,L,,,125.2
Pitching,2026091202,2026091202#22,4,3,TOP,1-2,2,gaifukaisei,M0nJ,R,シンカー,77.2,-0.8,2.0,20,false,1.1,0.8,false,false,false,BALL,,,,,,L,,,99.0
